Drink Name,Size,Sugar Level,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol (mg),Sodium(mg),Carbohydrates,Fiber,Sugar,Protein,Calcium %,Allergen Statement (English)
Kung Fu Black Tea,Medium,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Black Tea,Medium,30%,0,0,0,0,0,0,14,0,14,0,0%,
Kung Fu Black Tea,Medium,50%,0,0,0,0,0,0,24,0,23,0,0%,
Kung Fu Black Tea,Medium,70%,0,0,0,0,0,0,33,0,32,0,0%,
Kung Fu Black Tea,Medium,100%,0,0,,0,0,0,47,0,46,0,0%,
Kung Fu Black Tea,Large,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Black Tea,Large,30%,0,0,0,0,0,0,19,0,18,0,0%,
Kung Fu Black Tea,Large,50%,0,0,0,0,0,0,31,0,30,0,0%,
Kung Fu Black Tea,Large,70%,0,0,0,0,0,0,42,0,42,0,0%,
Kung Fu Black Tea,Large,100%,0,0,0,,0,1,61,0,60,0,0%,
Kung Fu Green Tea,Medium,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Green Tea,Medium,30%,0,0,0,0,0,0,12,0,12,0,0%,
Kung Fu Green Tea,Medium,50%,0,0,0,0,0,0,19,0,18,0,0%,
Kung Fu Green Tea,Medium,70%,0,0,0,0,0,0,24,0,23,0,0%,
Kung Fu Green Tea,Medium,100%,0,0,0,0,0,0,35,0,35,0,0%,
Kung Fu Green Tea,Large,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Green Tea,Large,30%,0,0,0,0,0,0,14,0,14,0,0%,
Kung Fu Green Tea,Large,50%,0,0,0,0,0,0,24,0,23,0,0%,
Kung Fu Green Tea,Large,70%,0,0,0,0,0,0,33,0,32,0,0%,
Kung Fu Green Tea,Large,100%,0,0,0,0,0,0,47,0,46,0,0%,
Kung Fu Oolong Tea,Medium,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Oolong Tea,Medium,30%,0,0,0,0,0,0,12,0,12,0,0%,
Kung Fu Oolong Tea,Medium,50%,0,0,0,0,0,0,19,0,18,0,0%,
Kung Fu Oolong Tea,Medium,70%,0,0,0,0,0,0,24,0,23,0,0%,
Kung Fu Oolong Tea,Medium,100%,0,0,0,0,0,0,35,0,35,0,0%,
Kung Fu Oolong Tea,Large,0%,0,0,0,0,0,0,0,0,0,0,0%,
Kung Fu Oolong Tea,Large,30%,0,0,0,0,0,0,14,0,14,0,0%,
Kung Fu Oolong Tea,Large,50%,0,0,0,0,0,0,24,0,23,0,0%,
Kung Fu Oolong Tea,Large,70%,0,0,0,0,0,0,33,0,32,0,0%,
Kung Fu Oolong Tea,Large,100%,0,0,0,0,0,0,47,0,46,0,0%,
Winter Melon Tea,Medium,30%,0,0,0,0,0,2,9,0,9,0,0%,
Winter Melon Tea,Medium,50%,0,0,0,0,0,3,15,0,14,0,0%,
Winter Melon Tea,Medium,70%,0,0,0,0,0,4,19,0,17,0,0%,
Winter Melon Tea,Medium,100%,0,0,0,0,0,6,28,0,26,0,0%,
Winter Melon Tea,Large,30%,0,0,0,0,0,2,11,0,10,0,0%,
Winter Melon Tea,Large,50%,0,0,0,0,0,4,19,0,17,0,0%,
Winter Melon Tea,Large,70%,0,0,0,0,0,5,26,0,24,0,0%,
Winter Melon Tea,Large,100%,0,0,0,0,0,7,37,0,34,0,0%,
Winter Melon Tea,Hot,30%,0,0,0,0,0,3,13,0,12,0,0%,
Winter Melon Tea,Hot,50%,0,0,0,0,0,4,23,0,21,0,0%,
Winter Melon Tea,Hot,70%,0,0,0,0,0,6,28,0,26,0,0%,
Winter Melon Tea,Hot,100%,0,0,0,0,0,8,41,0,38,0,0%,
Winter Melon Green Tea,Medium,30%,0,0,0,0,0,2,9,0,9,0,0%,
Winter Melon Green Tea,Medium,50%,0,0,0,0,0,3,15,0,14,0,0%,
Winter Melon Green Tea,Medium,70%,0,0,0,0,0,4,19,0,17,0,0%,
Winter Melon Green Tea,Medium,100%,0,0,0,0,0,6,28,0,26,0,0%,
Winter Melon Green Tea,Large,30%,0,0,0,0,0,2,11,0,10,0,0%,
Winter Melon Green Tea,Large,50%,0,0,0,0,0,4,19,0,17,0,0%,
Winter Melon Green Tea,Large,70%,0,0,0,0,0,5,26,0,24,0,0%,
Winter Melon Green Tea,Large,100%,0,0,0,0,0,7,37,0,34,0,0%,
Winter Melon Green Tea,Hot,30%,0,0,0,0,0,3,13,0,12,0,0%,
Winter Melon Green Tea,Hot,50%,0,0,0,0,0,4,23,0,21,0,0%,
Winter Melon Green Tea,Hot,70%,0,0,0,0,0,6,28,0,26,0,0%,
Winter Melon Green Tea,Hot,100%,0,0,0,0,0,8,41,0,38,0,0%,
Honey Tea,Medium,30%,0,0,0,0,0,0,13,0,12,0,0%,
Honey Tea,Medium,50%,0,0,0,0,0,0,18,0,16,0,0%,
Honey Tea,Medium,70%,0,0,0,0,0,0,26,0,23,0,0%,
Honey Tea,Medium,100%,0,0,0,0,0,0,37,0,32,0,0%,
Honey Tea,Large/Hot,30%,0,0,0,0,0,0,16,0,14,0,0%,
Honey Tea,Large/Hot,50%,0,0,0,0,0,0,26,0,23,0,0%,
Honey Tea,Large/Hot,70%,0,0,0,0,0,0,37,0,32,0,0%,
Honey Tea,Large/Hot,100%,0,0,0,0,0,0,53,0,46,0,0%,
